Company Name,Company Rating,Job Title,Location,Description,Salary Range,Median Salary
Optimspace,N/A,Data Science Intern,Remote,"Data Science Intern (Remote) – Optimspace
About Us:
Optimspace is a leading Information Technology company at the forefront of innovative digital solutions. We are seeking a motivated and detail-oriented Data Science Intern to join our team. This is an exciting opportunity to gain hands-on experience working on real-world data science projects that directly impact business decisions.
Role Overview:
As a Data Science Intern, you’ll play a key role in analyzing complex datasets, building machine learning models, and generating actionable insights. This position offers valuable exposure to the full data science lifecycle in a collaborative and remote work environment.
Key Responsibilities:
Collect, clean, and prepare data for analysis and modeling.
Assist in developing and deploying predictive models and machine learning algorithms.
Perform statistical analyses and create data visualizations to support findings.
Work closely with team members to understand project goals and deliver solutions.
Communicate insights and recommendations to stakeholders through reports and presentations.
Help optimize models and algorithms for efficiency and scalability.
Stay informed about emerging trends and technologies in data science.
Contribute to the success of ongoing data science initiatives.
Qualifications:
Currently pursuing a degree in Data Science, Computer Science, Statistics, or a related field.
Strong analytical thinking and problem-solving skills.
Proficient in Python, R, or SQL for data analysis and modeling.
Familiarity with machine learning techniques and frameworks.
Experience using data visualization tools such as Tableau, Power BI, or similar.
Ability to work effectively both independently and as part of a team.
Strong communication and presentation skills.
Detail-oriented with a passion for uncovering insights from data.
Why Join Us?
Gain real-world experience working on impactful data science projects.
Collaborate with experienced professionals in a supportive, remote-first environment.
Enhance your technical skills and grow your career in data science.",N/A,N/A
Ericsson,4.0,Data Scientist - Gen AI,Chennai,"Join our Team
About this opportunity:
We are seeking a highly skilled, hands-on AI Architect - GenAI to lead the design and implementation of production-grade, cloud-native AI and NLP solutions that drive business value and enhance decision-making processes. The ideal candidate will have a robust background in machine learning, generative AI, and the architecture of scalable production systems. As an AI Architect, you will play a key role in shaping the direction of advanced AI technologies and leading teams in the development of cutting-edge solutions.

What you will do:
Architect and design AI and NLP solutions to address complex business challenges and support strategic decision-making.",₹4L – ₹9L/yr (Glassdoor Est.),₹6L/yr Median
PayPal,3.7,Data Scientist,Chennai,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.

We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.

We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.",N/A,N/A
Predigle-An Esper Group Company,N/A,Data Scientist,Remote,"As part of our new AI team, you will have the opportunity to work on real-world AI applications, contribute to innovative NLP solutions, and gain hands-on experience in building AI-driven products from the ground up.
Responsibilities:
· Assist in designing, training, and optimizing ML/NLP models using PyTorch, NLTK, Scikit-learn, and Transformer models (BERT, GPT, etc.).
· Help deploy AI/ML solutions on AWS, GCP, or Azure.
· Collaborate with engineers to integrate AI models into production systems.
· Use SQL and Python to clean, preprocess, and analyze large datasets.
· Stay updated with the latest advancements in NLP, AI, and ML frameworks.
Required Skills & Qualifications:
· Strong experience in Python programming.",₹5L – ₹10L/yr (Employer provided),₹8L/yr Median
QuantumBricks,4.7,Data Scientist with Machine Learning specialization,Remote,"Key Responsibilities:
Design, develop, and deploy machine learning models for prediction, recommendation, anomaly detection, NLP, or image processing tasks.
Work with large, complex datasets to extract insights and build scalable solutions.
Collaborate with data engineers to create efficient data pipelines and feature engineering workflows.
Evaluate model performance using appropriate metrics and improve models through iterative testing and tuning.
Communicate findings, insights, and model outputs clearly to non-technical stakeholders.
Stay up to date with the latest machine learning research, frameworks, and technologies.
Required Skills:",₹8L – ₹18L/yr (Employer provided),₹13L/yr Median
Maruti Suzuki India Ltd,3.8,DATA SCIENTIST,Gurgaon,"About the Company:
Maruti Suzuki India Limited

is a leading automobile manufacturer in India. A subsidiary of the Japanese automotive company Suzuki, Maruti Suzuki has been dominating the Indian car market for over three decades with its wide range of budget to premium cars. The company is known for its quality, reliability, and value for money offerings that have earned it the trust of millions of Indians.

Role Purpose:
The Data Scientist at

Maruti Suzuki India Limited

will be responsible for leveraging large sets of data, statistical sciences, and predictive modeling to create business strategies and improve operations.




This role is based in our head office in New Delhi, India. The company offers flexible working hours with a hybrid model, combining in-office days and remote working.",₹3L – ₹10L/yr (Glassdoor Est.),₹6L/yr Median
"Arch Systems, LLC",4.2,Data Scientist/ Data Specialist,Remote,"Role: Senior Data Scientist / Data Specialist
Company: Arch Systems/DM&T
Client: US Federal Government
Location: Remote
Shift: Any time between 6:30 pm - 12:30 am IST
Availability: Within 5 days from date of offer
Job Types: Part-time, Contractual / Temporary
About the Role:
Key Responsibilities:
Design, develop, and deploy AI/ML models and data pipelines in production-grade environments.",₹1.20K – ₹2.00K/hr (Employer provided),₹1.60K/hr Median
Intellion Technologies Pvt Ltd,5.0,Part-Time Freelance Data Scientist (Remote),Remote,"Job Title: Part-Time Freelance Data Scientist (Remote)
Location: Remote
Type: Part-Time, Freelance
Working Hours: Two hours per day, Monday to Friday
Job Description:
We are looking for an experienced Data Scientist to join our team in a part-time freelance capacity. This is a remote role, requiring two hours of support each weekday. The ideal candidate will bring expertise in data analysis, modeling, and communication of insights to support our internal team.
Responsibilities:
Analyze complex datasets to extract meaningful insights",₹25K – ₹30K/mo (Employer provided),₹28K/mo Median
TECACS IT GROUP PVT LTD,5.0,Internships in AI & Data Science,Cochin,"An internship in Artificial Intelligence (AI) and Data Science is a structured program that allows students and fresh graduates to gain real-world experience in one of the most in-demand tech domains today. These internships provide exposure to cutting-edge tools, technologies, and industry practices.
Job Types: Part-time, Permanent, Fresher, Contractual / Temporary, Freelance
Pay: ₹8,086.00 - ₹59,064.56 per month
Expected hours: 54 per week
Benefits:
Cell phone reimbursement
Internet reimbursement
Leave encashment",N/A,N/A
Cravita Technologies India,4.1,Junior Data Scientist,India,"Strong proficiency in programming languages such as Python and R.
Expertise in sentiment analysis, NER, and other natural language processing techniques is a must.
Experience in MLOps, Machine Learning, Statistical Modeling, and Data Visualization.
Excellent leadership, communication, and interpersonal skills.
Number of Openings : 3",N/A,N/A
LSEG (London Stock Exchange Group),3.7,Junior Data Scientist,Bengaluru,"We are looking for a skilled Data Scientist to join our dynamic Analytics Centre of Excellence team. This role combines Data Science, Python development, and business analysis to deliver actionable insights and solutions that drive strategic decisions. Knowledge and experience will be put into practice to Quantitative Engineering, financial instrument pricing, and analytics to shape the direction of our technology and tools, impacting both internal and external customers.
This position offers a unique opportunity to work on Data Science projects, Python applications, and requirement analysis, based on your strengths and interests. Whether developing ML models, writing Python code, or collaborating with business partners, playing a key role in the successful delivery of projects.
Key responsibilities:
Data Science: Own development of sophisticated data science and machine learning models, using large datasets to drive business decisions and data-driven strategies across the organization.",₹10L/yr (Glassdoor Est.),N/A
Sumeru,3.3,Data Scientist/Analyst,Remote,"Job Title:- Data Scientist/Data Analyst
Job Location:- Remote
Job Type: Full-Time Position

Position Summary
We are looking for a Data Scientist or Analyst who will be working closely with other Data Scientists and Data analysts on performing detailed requirements analysis given by clients. Identifying objectives, executing complex analytical projects, and defining processes to deliver robust analytical solutions for clients.

Key Responsibilities",N/A,N/A
Optimspace,N/A,Machine Learning intern,Remote,"Machine Learning Intern (Remote) – Optimspace
About Optimspace:
Optimspace is a forward-thinking Information Technology company dedicated to building intelligent, data-driven solutions. We are currently seeking a talented and motivated Machine Learning Intern to join our team. This is an excellent opportunity to gain real-world experience in the field of machine learning while contributing to innovative projects that drive business success.
About the Role:
As a Machine Learning Intern at Optimspace, you will work on cutting-edge projects involving data analysis, predictive modeling, and algorithm development. You’ll play a key role in helping us design intelligent systems that enhance our products and inform smarter decision-making. This internship offers hands-on learning in a collaborative, remote-first environment.
Key Responsibilities:
Collect, clean, and preprocess data for machine learning models.
Assist in the development and implementation of machine learning algorithms.
Run experiments to evaluate and improve model performance.
Analyze data patterns and generate actionable insights.
Help optimize and fine-tune machine learning models for accuracy and efficiency.
Support the deployment of models into real-world applications.
Stay informed on the latest trends and research in machine learning and AI.
Document workflows, results, and methodologies for future reference.
Qualifications:
Currently pursuing a degree in Computer Science, Data Science, Artificial Intelligence, or a related field.
Solid understanding of machine learning concepts, techniques, and algorithms.
Proficiency in programming languages such as Python, R, or Java.
Familiarity with libraries and tools like Pandas, NumPy, Scikit-learn, TensorFlow, or PyTorch.
Strong analytical and problem-solving skills.
Ability to work independently and as part of a collaborative remote team.
Excellent communication and interpersonal skills.
Detail-oriented with a strong desire to learn and grow in the field of machine learning.",N/A,N/A
Immersive Infotech Pvt. Ltd,4.9,Data Scientist,Remote,"Data Scientist (2–4 Years Exp) | AI & Optimization |
Remote-Friendly(Contract Based- 3 Months & Extendable)
What You'll Work On:
- Forecasting, elasticity, and time-series models using Python (scikit-learn, LightGBM, Prophet)
- Optimisation models using OR-Tools or Gurobi for scheduling/routing.
- Metrics instrumentation (MAPE, RMSE, override rates), feedback-driven model tuning.- Generative AI integrations (OpenAI API, LangChain)
- Model APIs, pipelines, and deployment on AWS.
- Collaboration with product & engineering teams to ship AI-backed features.
What You Bring:",₹12L/yr (Employer provided),N/A
Hypersonix,4.8,Data Science - Intern,Remote,"About Us
Join Hypersonix, the premier AI-driven platform revolutionizing eCommerce and retail profitability. In an industry where 70% of businesses struggle with stagnation, escalating costs, and unpredictable risks, Hypersonix provides real-time, actionable intelligence powered by its proprietary Commerce Large Language Model.
We equip businesses with AI-driven insights to optimize sales, competition analysis, and demand forecasting—seamlessly integrating with major eCommerce, ERP, and financial platforms. Hypersonix enables businesses to identify risks and opportunities faster, ensuring sustainable, profitable growth. Our mission? To help retailers not just survive but thrive.
Be part of a team that’s reshaping the future of commerce with cutting-edge AI. Join us and make an impact!",N/A,N/A
Saraca Solutions,4.2,Data Scientist,Chennai,"Chennai

Job ID: SS202500043
Function: Data Scientist
Role: Data Scientist
Desired Skills: Python, Artificial Intelligence, Machine learning, GCP
Job Description
Position Name: Data Scientist
Client Name: Renault
Work Location: Chennai
Mode of Work : Hybrid",₹4L – ₹8L/yr (Glassdoor Est.),₹6L/yr Median
Deloitte,3.8,Enabling Areas - DEC - Manager - Data Scientist,Bengaluru,"Job requisition ID :: 77946
Date: Jul 13, 2025
Location: Bengaluru
Designation: Manager
Entity: Deloitte Touche Tohmatsu India LLP
Your potential, unleashed.

India’s impact on the global economy has increased at an exponential rate and Deloitte presents an opportunity to unleash and realise your potential amongst cutting edge leaders, and organisations shaping the future of the region, and indeed, the world beyond.",N/A,N/A
"ADS, Inc",3.9,Data Scientist,Alleppey,"Data Scientists handle many aspects of a company’s data, and they work with many teams and individuals within an organization. Key responsibilities of a Data Scientist may include:
Mining and analyzing data from company databases to improve marketing, product development, or overall business strategies
Using predictive modeling to optimize revenue growth, marketing campaigns, and customer experiences
Developing A/B testing campaign frameworks and testing model quality
Communicating and coordinating with teams to implement data-driven strategies while measuring progress
Job Type: Full-time
Pay: ₹568,382.94 - ₹1,918,744.27 per year
Benefits:",₹6L – ₹19L/yr (Employer provided),₹12L/yr Median
Phenomenal HR,N/A,Data Scientist,Remote,"We’re looking for a hands-on Data Scientist or ML Engineer with strong expertise in unsupervised learning, anomaly detection, and causal inference. You’ll work on real-world customer support signals—chat, voice, email, social—to uncover patterns, forecast trends, and recommend actions through intelligent, production-ready models.
Key Responsibilities
Pattern Discovery: Build unsupervised/semi-supervised models (e.g., HDBSCAN, metric learning, spectral) to surface issue clusters.
Trend Detection: Design anomaly detectors and forecast issue volumes using tools like Prophet or NeuralProphet.
Cross-Channel Correlation: Link customer signals across support channels to trace issue journeys.",₹6L – ₹12L/yr (Employer provided),₹9L/yr Median
CIS,1.0,Data Scientist Freshers,Indore,"Department
Artificial Intelligence Jobs - AI Engineer and Data Scientist
Skills Required
JAVA, MYSQL, JSP, SPRING, SPRING BOOT, HTML, CSS, HIBERNATE
Experience Required
0 month - 1 years
Educational Qualification(s) Required
BE / ME / B.Tech / M.Tech (CS / IT) / MCA or equivalent.

Overview of Job
We are seeking fresher candidates who have a strong OOPs skill set and good knowledge of database management tools like SQL Server or MySQL.The ideal candidate should have excellent communication skills and be able to work as a team. Candidates should have strong basics of programming, strong logic, data structure, Algorithm etc.",₹2L – ₹10L/yr (Glassdoor Est.),₹4L/yr Median
Optum,3.5,Data Scientist,Noida,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together.

At Optum AI, we leverage data and resources to make a significant impact on the healthcare system. Our solutions have the potential to improve healthcare for everyone. We work on cutting-edge projects involving ML, NLP, and LLM techniques, continuously developing and improving generative AI methods for structured and unstructured healthcare data. Our team collaborates with world-class experts and top universities to develop innovative AI/ML solutions, often leading to patents and published papers.",₹2L – ₹9L/yr (Glassdoor Est.),₹4L/yr Median
"MKS Instruments, Inc.",3.8,Principle Supply Chain Data Scientist,Bengaluru,"A Day in Your Life at MKS:
As a Manager, Supply Chain Data Scientist at the Digital Supply Chain Team, you will partner with Procurement, Category Management, Material Planning, Logistics, Finance, Lean Excellence, and IT to play in integral role in the Functional and Technical integration management of our supply chain digital enablement which aim to solve and improve some of the world’s most complex supply chain constraints and challenges. You will effectively introduce advanced analytics capability and provide analyzing data approaches to develop and execute analytics projects to enable supply chain operations. Parameters that may be examined will include assessment of analytics solutions, enable analytics solutions, execute data analytics and modeling and generate detailed reports to provide insight to senior leaderships to support decision making. In this role, you will report to the Director, Digital Supply Chain Transformation.
You Will Make an Impact By:",₹7L – ₹10L/yr (Glassdoor Est.),₹8L/yr Median
Optum,3.5,Lead AI or ML Engineer,Gurgaon,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together.

We are seeking a highly skilled and experienced Data Scientist to join our team based in Bangalore. As a Data Scientist, you will play a critical role in developing and implementing AI/ML solutions. You will be responsible for utilizing your expertise in Python, SQL, and various frameworks like Scikit Learn, TensorFlow, and PyTorch to deliver production-grade AI/ML projects. The ideal candidate will have 2+ years of experience in Data Science, AI/ML, and a solid understanding of mathematical and statistical concepts. Experience in the US Healthcare domain and knowledge of Big Data and data streaming technologies are desirable.",N/A,N/A
Boston Consulting Group,4.2,"AI Engineer / Senior AI Engineer, India - BCG X",Gurgaon,"Locations: Mumbai | Gurgaon

Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.

We Are BCG X

We’re a diverse team of more than 3,000 tech experts united by a drive to make a difference. Working across industries and disciplines, we combine our experience and expertise to tackle the biggest challenges faced by society today. We go beyond what was once thought possible, creating new and innovative solutions to the world’s most complex problems. Leveraging BCG’s global network and partnerships with leading organizations, BCG X provides a stable ecosystem for talent to build game-changing businesses, products, and services from the ground up, all while growing their career. Together, we strive to create solutions that will positively impact the lives of millions.

What You'll Do

Build AI/ML technology stacks from concept to production, including data pipelines, model training, and deployment.
Develop and optimize Generative AI workflows, including prompt engineering, fine-tuning (LoRA, QLoRA), retrieval-augmented generation (RAG), and LLM-based applications.
Work with Large Language Models (LLMs) such as Llama, Mistral, and GPT, ensuring efficient adaptation for various use cases.
Design and implement AI-driven automation using agentic AI systems and orchestration frameworks like Autogen, LangGraph, and CrewAI.
Leverage cloud AI infrastructure (AWS, Azure, GCP) for scalable deployment and performance tuning.
Collaborate with cross-functional teams to deliver AI-driven solutions.

What You'll Bring

Bachelor’s, Master’s, or PhD in Computer Science, Data Science, Mathematics, Statistics, Engineering or a related field.
2+ years of experience in AI/ML, with expertise in Generative AI and LLMs.
Strong proficiency in Python and experience with AI/ML frameworks like PyTorch and TensorFlow.
Knowledge of advanced prompt engineering techniques (Chain of Thought, Few-Shot, Self-Consistency).
Experience in AI workflow automation and model orchestration.
Hands-on experience with API development using Flask or Django.
Familiarity with data processing frameworks like Databricks and Airflow.
Strong analytical skills and the ability to work in a collaborative environment

Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E - Verify Employer. Click here for more information on E-Verify.",N/A,N/A
Optum,3.5,Senior AI or ML Engineer,Bengaluru,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together.
Primary Responsibilities:
Develop and Deploy ML Models: Code and develop software that deploys machine learning models and algorithms into production environments, with a focus on healthcare applications
Communication: Present complex analytics results and concepts to leadership and internal stakeholders in a clear and concise manner",₹3L – ₹7L/yr (Glassdoor Est.),₹5L/yr Median
Kinaxis Inc.,4.1,"Staff Software Developer, Machine Learning",Bengaluru,"About Kinaxis:
About Kinaxis
Elevate your career journey by embracing a new challenge with Kinaxis. We are experts in tech, but it’s really our people who give us passion to always seek ways to do things better. As such, we’re serious about your career growth and professional development, because People matter at Kinaxis.

In 1984, we started out as a team of three engineers based in Ottawa, Canada. Today, we have grown to become a global organization with over 2000 employees around the world, and support 40,000+ users in over 100 countries. As a global leader in end-to-end supply chain management, we enable supply chain excellence for all industries. We are expanding our team in Chennai and around the world as we continue to innovate and revolutionize how we support our customers.

About the team:
About the role:

Why join Kinaxis?:",₹3L – ₹8L/yr (Glassdoor Est.),₹5L/yr Median
Siemens,4.1,Data Scientist,Chennai,"Hello Visionary!

We empower our people to stay resilient and relevant in a constantly changing world. We’re looking for people who are always searching for creative ways to grow and learn. People who want to make a real impact, now and in the future.

Does that sound like you? Then it seems like you’d make a great addition to our vibrant team.

We are looking for a Data Scientist.

This position is for Chennai Location.",₹5L – ₹9L/yr (Glassdoor Est.),₹7L/yr Median
